Sales,Land.value,Improvement.value,Neighbourhood
378,81.84,243.3,Cheval
273,60.48,134.47,Cheval
321.2,115.58,255.42,Cheval
395,119.61,202.05,Cheval
272,84.69,133.58,Cheval
350,78.69,154.7,Cheval
315,59.85,148.29,Cheval
220,59.25,176.31,Cheval
280,85.68,147.06,Cheval
274.9,57.96,129.07,Cheval
219.9,63.92,104.77,Cheval
295,45.36,121.01,Cheval
250,65.28,133.21,Cheval
295,69.55,156.44,Cheval
327,72.5,166.94,Cheval
445,84.56,235.96,Cheval
420,84.15,234.3,Cheval
327,112.38,185.57,Cheval
382.5,81.23,217.98,Cheval
242,61.48,110.28,Cheval
242,49.99,109.06,Cheval
510,71.28,224.38,Cheval
285,63.82,158.83,Cheval
400,68.31,194.69,Cheval
323,61.06,206.32,Cheval
347,62.96,208.73,Cheval
375,67.42,173.74,Cheval
383,65.51,221.34,Cheval
1000,207,523.79,Cheval
498.9,163.3,311.76,Cheval
626,161.78,306.67,Cheval
850,166.53,335.54,Cheval
665,152.18,348.2,Cheval
510,130.64,332.09,Cheval
334,62.76,170.91,Cheval
500,91.32,296.02,Cheval
825,117.01,451.41,Cheval
515,117.72,347.87,Cheval
520,107.06,329.93,Cheval
780,157.29,507.85,Cheval
825,131.89,466.27,Cheval
841,159.84,443.29,Cheval
1140,157.49,563.91,Cheval
460,59.36,206.84,Cheval
285,39.75,166.61,HuntersGreen
350,54,227.43,HuntersGreen
314.5,48.84,187.13,HuntersGreen
183,34.75,158.05,HuntersGreen
200,29.1,145.8,HuntersGreen
775,142.27,350.43,HuntersGreen
505,99.62,306.43,HuntersGreen
425,47.52,225.74,HuntersGreen
335,49.01,217.35,HuntersGreen
760,96.1,335.59,HuntersGreen
410,75.79,274.22,HuntersGreen
335,67.22,273.66,HuntersGreen
840,68.22,375.02,HuntersGreen
430,57.77,297.55,HuntersGreen
204,36.44,157.48,HuntersGreen
275,47.61,176.14,HuntersGreen
330,40.56,222.64,HuntersGreen
202,32.53,111.33,HuntersGreen
200,31.68,121.46,HuntersGreen
256,30.6,146.73,HuntersGreen
248,30.3,138.84,HuntersGreen
200,38.81,114.06,HuntersGreen
319,49.36,184.43,HuntersGreen
305,50.22,172.64,HuntersGreen
340,39.84,180.05,HuntersGreen
185,39.08,117.11,HuntersGreen
210,35.51,125.71,HuntersGreen
212,38.09,101.98,HuntersGreen
260,40.3,212.92,HuntersGreen
295,48.58,246.91,HuntersGreen
181,33.75,100.12,HuntersGreen
195,38.77,118.26,HuntersGreen
253,38.77,113.99,HuntersGreen
212,38.77,114.19,HuntersGreen
210,31.2,126.19,HuntersGreen
245,31.2,130.12,HuntersGreen
195,35.39,120.58,HuntersGreen
499.9,46.69,292.18,HuntersGreen
407,63.03,268.38,HuntersGreen
320,45.45,266.03,HuntersGreen
335,77,219.76,HuntersGreen
325,37.5,216.75,HuntersGreen
1025,153.28,533.28,HuntersGreen
1550,94.08,906.47,HuntersGreen
350,47.22,235.97,HuntersGreen
415,53.04,253.71,HuntersGreen
300,55.45,225.65,HuntersGreen
260,39.6,199.77,HuntersGreen
190,27.6,97.44,HuntersGreen
163,35.23,114.99,HuntersGreen
140,24.25,91.82,HuntersGreen
325,47.02,241.87,HuntersGreen
380,47.74,307.2,HuntersGreen
640,45.55,336.44,HuntersGreen
262,51.97,152.96,HuntersGreen
190,51.25,151.68,HuntersGreen
500,256.13,152.78,HydePark
550,168.45,310.12,HydePark
205.8,168.45,41.6,HydePark
590,291.09,66.9,DavisIsles
525,462.43,114.13,DavisIsles
340,199.66,80.43,DavisIsles
3200,1004.59,1129.65,DavisIsles
500,358.43,55.89,DavisIsles
1421,391.46,550.78,DavisIsles
858.9,242.47,281.62,HydePark
625,264,184.63,HydePark
375,242,33.79,HydePark
1240,264,466.82,HydePark
850,266.64,333.18,HydePark
2500,533.28,1221.2,HydePark
750,266.64,366.05,HydePark
895,266.64,358.77,HydePark
460,264,183.54,HydePark
605,210,259.67,HydePark
329.9,210,105.94,HydePark
462,210,145.19,HydePark
850,264,362.71,HydePark
1525,335.61,862.34,HydePark
1400,350.9,711.34,HydePark
760,264,257.47,HydePark
520,250.23,157.75,HydePark
418,193.2,147.43,HydePark
152,118.8,106.14,HydePark
330,118.8,123.98,HydePark
240,192.01,221.54,HydePark
405,223.74,122.18,HydePark
650,203.49,209.11,HydePark
400,203.49,101.58,HydePark
365,207.48,112.78,HydePark
455,210,109.48,HydePark
625,231.57,213.67,HydePark
380,131.25,134.89,HydePark
499.9,178.5,229.33,HydePark
640,353.43,137.09,HydePark
325,271.46,57.29,DavisIsles
1775,702,205.18,DavisIsles
1000,693.51,186.54,DavisIsles
580,435.6,189.18,DavisIsles
920,269.39,410.8,DavisIsles
259.9,276.57,31.93,DavisIsles
400,204.86,50.19,DavisIsles
890,223.52,621.07,DavisIsles
545,171,295.67,DavisIsles
960,327.67,426.63,DavisIsles
970,653.4,134.78,DavisIsles
615,497.95,63.84,DavisIsles
745,291.63,83.22,DavisIsles
1650,388.82,1023.36,DavisIsles
1250,648.96,81.01,DavisIsles
715,344.12,265.18,DavisIsles
1215,341.86,785.66,DavisIsles
1090,724.78,359.94,DavisIsles
975,366.25,303.46,DavisIsles
1017,248.45,691.7,DavisIsles
1025,271.76,497.77,DavisIsles
625,265.13,54.1,DavisIsles
700,217.67,333.03,DavisIsles
327,188.5,33.95,DavisIsles
725,231.19,319.57,DavisIsles
405,217.11,48.18,DavisIsles
327,185.61,50.77,DavisIsles
515,181.04,229.97,DavisIsles
999,232.62,582.1,DavisIsles
850,201.14,604.45,DavisIsles
490,164.9,175.21,DavisIsles
440,179.52,58.4,DavisIsles
690,357.07,121.25,DavisIsles
587.5,300.93,75.99,DavisIsles
377.5,238.86,43.95,DavisIsles
810,195.84,479,DavisIsles
800,242.47,367.4,HydePark
